path,set,subject,modality,matfile,data_offset,size
TrainingSet/P004/cine_lax_ks.mat,TrainingSet,P004,Cine LAX,cine_lax_ks.mat,7381327360,270446529
TrainingSet/P004/cine_sax_calib.mat,TrainingSet,P004,Cine SAX,cine_sax_calib.mat,7651774464,296092287
TrainingSet/P004/cine_sax_ks.mat,TrainingSet,P004,Cine SAX,cine_sax_ks.mat,7947868672,675813333
TrainingSet/P004/t1map_calib.mat,TrainingSet,P004,T1map,t1map_calib.mat,8623682560,8648094
TrainingSet/P004/t1map_ks.mat,TrainingSet,P004,T1map,t1map_ks.mat,8632332288,267071202
TrainingSet/P004/t2map_calib.mat,TrainingSet,P004,T2map,t2map_calib.mat,8899404288,5700075
TrainingSet/P004/t2map_ks.mat,TrainingSet,P004,T2map,t2map_ks.mat,8905105920,49579656
TrainingSet/P005/cine_lax_calib.mat,TrainingSet,P005,Cine LAX,cine_lax_calib.mat,8954686976,109658277
TrainingSet/P005/cine_lax_ks.mat,TrainingSet,P005,Cine LAX,cine_lax_ks.mat,9064347136,356156267
TrainingSet/P005/cine_sax_calib.mat,TrainingSet,P005,Cine SAX,cine_sax_calib.mat,9420504064,425793393
TrainingSet/P005/cine_sax_ks.mat,TrainingSet,P005,Cine SAX,cine_sax_ks.mat,9846299136,1218059764
TrainingSet/P005/t1map_calib.mat,TrainingSet,P005,T1map,t1map_calib.mat,11064359424,10387151
TrainingSet/P005/t1map_ks.mat,TrainingSet,P005,T1map,t1map_ks.mat,11074748416,326218787
TrainingSet/P005/t2map_calib.mat,TrainingSet,P005,T2map,t2map_calib.mat,11400968192,7002748
TrainingSet/P005/t2map_ks.mat,TrainingSet,P005,T2map,t2map_ks.mat,11407972864,60112134
TrainingSet/P006/cine_lax_calib.mat,TrainingSet,P006,Cine LAX,cine_lax_calib.mat,11468086272,123406404
TrainingSet/P006/cine_lax_ks.mat,TrainingSet,P006,Cine LAX,cine_lax_ks.mat,11591494656,291138822
TrainingSet/P006/cine_sax_calib.mat,TrainingSet,P006,Cine SAX,cine_sax_calib.mat,11882634240,394820343
TrainingSet/P006/cine_sax_ks.mat,TrainingSet,P006,Cine SAX,cine_sax_ks.mat,12277456384,1111029883
TrainingSet/P006/t1map_calib.mat,TrainingSet,P006,T1map,t1map_calib.mat,13388487168,8653829
TrainingSet/P006/t1map_ks.mat,TrainingSet,P006,T1map,t1map_ks.mat,13397143040,267588459
TrainingSet/P006/t2map_calib.mat,TrainingSet,P006,T2map,t2map_calib.mat,13664732160,5685022
TrainingSet/P006/t2map_ks.mat,TrainingSet,P006,T2map,t2map_ks.mat,13670418944,49501087
TrainingSet/P007/cine_lax_calib.mat,TrainingSet,P007,Cine LAX,cine_lax_calib.mat,13719921152,125156570
TrainingSet/P007/cine_lax_ks.mat,TrainingSet,P007,Cine LAX,cine_lax_ks.mat,13845079552,298096240
TrainingSet/P007/cine_sax_calib.mat,TrainingSet,P007,Cine SAX,cine_sax_calib.mat,14143176704,434162143
TrainingSet/P007/cine_sax_ks.mat,TrainingSet,P007,Cine SAX,cine_sax_ks.mat,14577340416,1498989512
TrainingSet/P007/t1map_calib.mat,TrainingSet,P007,T1map,t1map_calib.mat,16076330496,8595953
TrainingSet/P007/t1map_ks.mat,TrainingSet,P007,T1map,t1map_ks.mat,16084928000,266657891
TrainingSet/P007/t2map_calib.mat,TrainingSet,P007,T2map,t2map_calib.mat,16351586816,5649715
TrainingSet/P007/t2map_ks.mat,TrainingSet,P007,T2map,t2map_ks.mat,16357238272,49371345
TrainingSet/P008/cine_lax_calib.mat,TrainingSet,P008,Cine LAX,cine_lax_calib.mat,16406610944,116020579
TrainingSet/P008/cine_lax_ks.mat,TrainingSet,P008,Cine LAX,cine_lax_ks.mat,16522633216,273446492
TrainingSet/P008/cine_sax_calib.mat,TrainingSet,P008,Cine SAX,cine_sax_calib.mat,16796080640,384687797
TrainingSet/P008/cine_sax_ks.mat,TrainingSet,P008,Cine SAX,cine_sax_ks.mat,17180770304,877307102
TrainingSet/P008/t1map_calib.mat,TrainingSet,P008,T1map,t1map_calib.mat,18058078208,8636772
TrainingSet/P008/t1map_ks.mat,TrainingSet,P008,T1map,t1map_ks.mat,18066716672,266955392
TrainingSet/P008/t2map_calib.mat,TrainingSet,P008,T2map,t2map_calib.mat,18333672960,5686069
TrainingSet/P008/t2map_ks.mat,TrainingSet,P008,T2map,t2map_ks.mat,18339360768,49412240
TrainingSet/P009/cine_lax_calib.mat,TrainingSet,P009,Cine LAX,cine_lax_calib.mat,18388774400,90503346
TrainingSet/P009/cine_lax_ks.mat,TrainingSet,P009,Cine LAX,cine_lax_ks.mat,18479279616,242865826
TrainingSet/P009/cine_sax_calib.mat,TrainingSet,P009,Cine SAX,cine_sax_calib.mat,18722146304,391279248
TrainingSet/P009/cine_sax_ks.mat,TrainingSet,P009,Cine SAX,cine_sax_ks.mat,19113427456,1317736018
TrainingSet/P009/t1map_calib.mat,TrainingSet,P009,T1map,t1map_calib.mat,20431164416,8625620
TrainingSet/P009/t1map_ks.mat,TrainingSet,P009,T1map,t1map_ks.mat,20439791616,268077177
TrainingSet/P009/t2map_calib.mat,TrainingSet,P009,T2map,t2map_calib.mat,20707869696,5684260
TrainingSet/P009/t2map_ks.mat,TrainingSet,P009,T2map,t2map_ks.mat,20713555968,49484179
TrainingSet/P010/cine_lax_calib.mat,TrainingSet,P010,Cine LAX,cine_lax_calib.mat,20763041280,88254918
TrainingSet/P010/cine_lax_ks.mat,TrainingSet,P010,Cine LAX,cine_lax_ks.mat,20851297792,241372188
TrainingSet/P010/cine_sax_calib.mat,TrainingSet,P010,Cine SAX,cine_sax_calib.mat,21092670976,461863870
TrainingSet/P010/cine_sax_ks.mat,TrainingSet,P010,Cine SAX,cine_sax_ks.mat,21554536448,1587745135
TrainingSet/P010/t1map_calib.mat,TrainingSet,P010,T1map,t1map_calib.mat,23142282240,8655700
TrainingSet/P010/t1map_ks.mat,TrainingSet,P010,T1map,t1map_ks.mat,23150939648,268623510
TrainingSet/P010/t2map_calib.mat,TrainingSet,P010,T2map,t2map_calib.mat,23419564032,5683682
TrainingSet/P010/t2map_ks.mat,TrainingSet,P010,T2map,t2map_ks.mat,23425249280,49629628
TrainingSet/P011/cine_lax_calib.mat,TrainingSet,P011,Cine LAX,cine_lax_calib.mat,23474880000,106538234
TrainingSet/P011/cine_lax_ks.mat,TrainingSet,P011,Cine LAX,cine_lax_ks.mat,23581420032,288907875
TrainingSet/P011/cine_sax_calib.mat,TrainingSet,P011,Cine SAX,cine_sax_calib.mat,23870328832,368688925
TrainingSet/P011/cine_sax_ks.mat,TrainingSet,P011,Cine SAX,cine_sax_ks.mat,24239019520,1262316064
TrainingSet/P011/t1map_calib.mat,TrainingSet,P011,T1map,t1map_calib.mat,25501336576,8629778
TrainingSet/P011/t1map_ks.mat,TrainingSet,P011,T1map,t1map_ks.mat,25509968384,266388276
TrainingSet/P011/t2map_calib.mat,TrainingSet,P011,T2map,t2map_calib.mat,25776357376,5681673
TrainingSet/P011/t2map_ks.mat,TrainingSet,P011,T2map,t2map_ks.mat,25782041088,49483319
TrainingSet/P012/cine_lax_calib.mat,TrainingSet,P012,Cine LAX,cine_lax_calib.mat,25831525888,77887266
TrainingSet/P012/cine_lax_ks.mat,TrainingSet,P012,Cine LAX,cine_lax_ks.mat,25909414912,259687027
TrainingSet/P012/cine_sax_calib.mat,TrainingSet,P012,Cine SAX,cine_sax_calib.mat,26169102848,251419436
TrainingSet/P012/cine_sax_ks.mat,TrainingSet,P012,Cine SAX,cine_sax_ks.mat,26420524032,854663351
TrainingSet/P012/t1map_calib.mat,TrainingSet,P012,T1map,t1map_calib.mat,27275188224,8569445
TrainingSet/P012/t1map_ks.mat,TrainingSet,P012,T1map,t1map_ks.mat,27283759616,266226721
TrainingSet/P012/t2map_calib.mat,TrainingSet,P012,T2map,t2map_calib.mat,27549987328,5636181
TrainingSet/P012/t2map_ks.mat,TrainingSet,P012,T2map,t2map_ks.mat,27555625472,49507094
TrainingSet/P013/cine_lax_calib.mat,TrainingSet,P013,Cine LAX,cine_lax_calib.mat,27605133824,82362084
TrainingSet/P013/cine_lax_ks.mat,TrainingSet,P013,Cine LAX,cine_lax_ks.mat,27687497728,270754260
TrainingSet/P013/cine_sax_calib.mat,TrainingSet,P013,Cine SAX,cine_sax_calib.mat,27958252544,355804102
TrainingSet/P013/cine_sax_ks.mat,TrainingSet,P013,Cine SAX,cine_sax_ks.mat,28314058240,1227802488
TrainingSet/P013/t1map_calib.mat,TrainingSet,P013,T1map,t1map_calib.mat,29541861376,8584989
TrainingSet/P013/t1map_ks.mat,TrainingSet,P013,T1map,t1map_ks.mat,29550448128,267663289
TrainingSet/P013/t2map_calib.mat,TrainingSet,P013,T2map,t2map_calib.mat,29818112000,5671881
TrainingSet/P013/t2map_ks.mat,TrainingSet,P013,T2map,t2map_ks.mat,29823785472,49614422
TrainingSet/P014/cine_lax_calib.mat,TrainingSet,P014,Cine LAX,cine_lax_calib.mat,29873401344,73784254
TrainingSet/P014/cine_lax_ks.mat,TrainingSet,P014,Cine LAX,cine_lax_ks.mat,29947187200,204199911
TrainingSet/P014/cine_sax_calib.mat,TrainingSet,P014,Cine SAX,cine_sax_calib.mat,30151387648,422335023
TrainingSet/P014/cine_sax_ks.mat,TrainingSet,P014,Cine SAX,cine_sax_ks.mat,30573724672,1445544528
TrainingSet/P014/t1map_calib.mat,TrainingSet,P014,T1map,t1map_calib.mat,32019270144,10466046
TrainingSet/P014/t1map_ks.mat,TrainingSet,P014,T1map,t1map_ks.mat,32029737984,328368680
TrainingSet/P014/t2map_calib.mat,TrainingSet,P014,T2map,t2map_calib.mat,32358107648,7086081
TrainingSet/P014/t2map_ks.mat,TrainingSet,P014,T2map,t2map_ks.mat,32365195776,60472875
TrainingSet/P015/cine_lax_calib.mat,TrainingSet,P015,Cine LAX,cine_lax_calib.mat,32425670144,120953958
TrainingSet/P015/cine_lax_ks.mat,TrainingSet,P015,Cine LAX,cine_lax_ks.mat,32546626048,347764911
TrainingSet/P015/cine_sax_calib.mat,TrainingSet,P015,Cine SAX,cine_sax_calib.mat,32894391808,478981675
TrainingSet/P015/cine_sax_ks.mat,TrainingSet,P015,Cine SAX,cine_sax_ks.mat,33373375488,1634042819
TrainingSet/P015/t1map_calib.mat,TrainingSet,P015,T1map,t1map_calib.mat,35007418880,8682684
TrainingSet/P015/t1map_ks.mat,TrainingSet,P015,T1map,t1map_ks.mat,35016103424,268766701
TrainingSet/P015/t2map_calib.mat,TrainingSet,P015,T2map,t2map_calib.mat,35284870656,5715597
TrainingSet/P015/t2map_ks.mat,TrainingSet,P015,T2map,t2map_ks.mat,35290588160,49647271
TrainingSet/P016/cine_lax_calib.mat,TrainingSet,P016,Cine LAX,cine_lax_calib.mat,35340236800,105628162
TrainingSet/P016/cine_lax_ks.mat,TrainingSet,P016,Cine LAX,cine_lax_ks.mat,35445867008,283911763
TrainingSet/P016/cine_sax_calib.mat,TrainingSet,P016,Cine SAX,cine_sax_calib.mat,35729779712,464050994
TrainingSet/P016/cine_sax_ks.mat,TrainingSet,P016,Cine SAX,cine_sax_ks.mat,36193832448,1602182038
TrainingSet/P016/t1map_calib.mat,TrainingSet,P016,T1map,t1map_calib.mat,37796015104,12170374
TrainingSet/P016/t1map_ks.mat,TrainingSet,P016,T1map,t1map_ks.mat,37808187392,381269978
TrainingSet/P016/t2map_calib.mat,TrainingSet,P016,T2map,t2map_calib.mat,38189457920,7972810
TrainingSet/P016/t2map_ks.mat,TrainingSet,P016,T2map,t2map_ks.mat,38197432320,69082760
TrainingSet/P017/cine_lax_calib.mat,TrainingSet,P017,Cine LAX,cine_lax_calib.mat,38266516480,124962892
TrainingSet/P017/cine_lax_ks.mat,TrainingSet,P017,Cine LAX,cine_lax_ks.mat,38391481344,359996866
TrainingSet/P017/cine_sax_calib.mat,TrainingSet,P017,Cine SAX,cine_sax_calib.mat,38751478784,379661462
TrainingSet/P017/cine_sax_ks.mat,TrainingSet,P017,Cine SAX,cine_sax_ks.mat,39131142144,1299409315
TrainingSet/P017/t1map_calib.mat,TrainingSet,P017,T1map,t1map_calib.mat,40430552064,8553117
TrainingSet/P017/t1map_ks.mat,TrainingSet,P017,T1map,t1map_ks.mat,40439107072,266913827
TrainingSet/P017/t2map_calib.mat,TrainingSet,P017,T2map,t2map_calib.mat,40706021888,5611768
TrainingSet/P017/t2map_ks.mat,TrainingSet,P017,T2map,t2map_ks.mat,40711635456,49427640
TrainingSet/P018/cine_lax_calib.mat,TrainingSet,P018,Cine LAX,cine_lax_calib.mat,40761064448,122621175
TrainingSet/P018/cine_lax_ks.mat,TrainingSet,P018,Cine LAX,cine_lax_ks.mat,40883687424,292417103
TrainingSet/P018/cine_sax_calib.mat,TrainingSet,P018,Cine SAX,cine_sax_calib.mat,41176105472,436723521
TrainingSet/P018/cine_sax_ks.mat,TrainingSet,P018,Cine SAX,cine_sax_ks.mat,41612830720,1241526642
TrainingSet/P018/t1map_calib.mat,TrainingSet,P018,T1map,t1map_calib.mat,42854358016,10393685
TrainingSet/P018/t1map_ks.mat,TrainingSet,P018,T1map,t1map_ks.mat,42864753664,326982049
TrainingSet/P018/t2map_calib.mat,TrainingSet,P018,T2map,t2map_calib.mat,43191736320,7032094
TrainingSet/P018/t2map_ks.mat,TrainingSet,P018,T2map,t2map_ks.mat,43198770176,60193016
TrainingSet/P019/cine_lax_calib.mat,TrainingSet,P019,Cine LAX,cine_lax_calib.mat,43258964480,111401439
TrainingSet/P019/cine_lax_ks.mat,TrainingSet,P019,Cine LAX,cine_lax_ks.mat,43370367488,364850135
TrainingSet/P019/cine_sax_calib.mat,TrainingSet,P019,Cine SAX,cine_sax_calib.mat,43735218176,390170323
TrainingSet/P019/cine_sax_ks.mat,TrainingSet,P019,Cine SAX,cine_sax_ks.mat,44125390336,1335896281
TrainingSet/P019/t1map_calib.mat,TrainingSet,P019,T1map,t1map_calib.mat,45461287424,8603083
TrainingSet/P019/t1map_ks.mat,TrainingSet,P019,T1map,t1map_ks.mat,45469892096,266819463
TrainingSet/P019/t2map_calib.mat,TrainingSet,P019,T2map,t2map_calib.mat,45736712192,5649172
TrainingSet/P019/t2map_ks.mat,TrainingSet,P019,T2map,t2map_ks.mat,45742363136,49491888
TrainingSet/P020/cine_lax_calib.mat,TrainingSet,P020,Cine LAX,cine_lax_calib.mat,45791856128,118918147
TrainingSet/P020/cine_lax_ks.mat,TrainingSet,P020,Cine LAX,cine_lax_ks.mat,45910776320,343041805
TrainingSet/P020/cine_sax_calib.mat,TrainingSet,P020,Cine SAX,cine_sax_calib.mat,46253818880,466607835
TrainingSet/P020/cine_sax_ks.mat,TrainingSet,P020,Cine SAX,cine_sax_ks.mat,46720428544,1326927643
TrainingSet/P020/t1map_calib.mat,TrainingSet,P020,T1map,t1map_calib.mat,48047356928,8682026
TrainingSet/P020/t1map_ks.mat,TrainingSet,P020,T1map,t1map_ks.mat,48056040960,267493879
TrainingSet/P020/t2map_calib.mat,TrainingSet,P020,T2map,t2map_calib.mat,48323535360,5697804
TrainingSet/P020/t2map_ks.mat,TrainingSet,P020,T2map,t2map_ks.mat,48329234944,49584984
TrainingSet/P021/cine_lax_calib.mat,TrainingSet,P021,Cine LAX,cine_lax_calib.mat,48378821120,52394833
TrainingSet/P021/cine_lax_ks.mat,TrainingSet,P021,Cine LAX,cine_lax_ks.mat,48431217664,112487836
TrainingSet/P021/cine_sax_calib.mat,TrainingSet,P021,Cine SAX,cine_sax_calib.mat,48543706112,433533391
TrainingSet/P021/cine_sax_ks.mat,TrainingSet,P021,Cine SAX,cine_sax_ks.mat,48977241088,1493121968
TrainingSet/P021/t1map_calib.mat,TrainingSet,P021,T1map,t1map_calib.mat,50470363648,10347123
TrainingSet/P021/t1map_ks.mat,TrainingSet,P021,T1map,t1map_ks.mat,50480712704,326142566
TrainingSet/P021/t2map_calib.mat,TrainingSet,P021,T2map,t2map_calib.mat,50806856192,6950751
TrainingSet/P021/t2map_ks.mat,TrainingSet,P021,T2map,t2map_ks.mat,50813808640,60105327
TrainingSet/P022/cine_lax_calib.mat,TrainingSet,P022,Cine LAX,cine_lax_calib.mat,50873915392,52411521
TrainingSet/P022/cine_lax_ks.mat,TrainingSet,P022,Cine LAX,cine_lax_ks.mat,50926328832,85915620
TrainingSet/P022/cine_sax_calib.mat,TrainingSet,P022,Cine SAX,cine_sax_calib.mat,51012244992,462703925
TrainingSet/P022/cine_sax_ks.mat,TrainingSet,P022,Cine SAX,cine_sax_ks.mat,51474950656,1588540535
TrainingSet/P022/t1map_calib.mat,TrainingSet,P022,T1map,t1map_calib.mat,53063492096,10447400
TrainingSet/P022/t1map_ks.mat,TrainingSet,P022,T1map,t1map_ks.mat,53073941504,329278193
TrainingSet/P022/t2map_calib.mat,TrainingSet,P022,T2map,t2map_calib.mat,53403220480,7072030
TrainingSet/P022/t2map_ks.mat,TrainingSet,P022,T2map,t2map_ks.mat,53410294272,60423615
TrainingSet/P023/cine_lax_calib.mat,TrainingSet,P023,Cine LAX,cine_lax_calib.mat,53470718976,109652083
TrainingSet/P023/cine_lax_ks.mat,TrainingSet,P023,Cine LAX,cine_lax_ks.mat,53580372992,292512205
TrainingSet/P023/cine_sax_calib.mat,TrainingSet,P023,Cine SAX,cine_sax_calib.mat,53872885760,373114962
TrainingSet/P023/cine_sax_ks.mat,TrainingSet,P023,Cine SAX,cine_sax_ks.mat,54246002688,1062466477
TrainingSet/P023/t1map_calib.mat,TrainingSet,P023,T1map,t1map_calib.mat,55308469760,10377867
TrainingSet/P023/t1map_ks.mat,TrainingSet,P023,T1map,t1map_ks.mat,55318849536,324758940
TrainingSet/P023/t2map_calib.mat,TrainingSet,P023,T2map,t2map_calib.mat,55643609088,6978761
TrainingSet/P023/t2map_ks.mat,TrainingSet,P023,T2map,t2map_ks.mat,55650589696,59938533
TrainingSet/P024/cine_lax_calib.mat,TrainingSet,P024,Cine LAX,cine_lax_calib.mat,55710529536,123335108
TrainingSet/P024/cine_lax_ks.mat,TrainingSet,P024,Cine LAX,cine_lax_ks.mat,55833866240,291456189
TrainingSet/P024/cine_sax_calib.mat,TrainingSet,P024,Cine SAX,cine_sax_calib.mat,56125323264,401223744
TrainingSet/P024/cine_sax_ks.mat,TrainingSet,P024,Cine SAX,cine_sax_ks.mat,56526548992,920859191
TrainingSet/P024/t1map_calib.mat,TrainingSet,P024,T1map,t1map_calib.mat,57447409152,10438626
TrainingSet/P024/t1map_ks.mat,TrainingSet,P024,T1map,t1map_ks.mat,57457849344,327213002
TrainingSet/P024/t2map_calib.mat,TrainingSet,P024,T2map,t2map_calib.mat,57785062912,7042348
TrainingSet/P024/t2map_ks.mat,TrainingSet,P024,T2map,t2map_ks.mat,57792107008,60350386
TrainingSet/P025/cine_lax_calib.mat,TrainingSet,P025,Cine LAX,cine_lax_calib.mat,57852458496,91137673
TrainingSet/P025/cine_lax_ks.mat,TrainingSet,P025,Cine LAX,cine_lax_ks.mat,57943598080,298306773
TrainingSet/P025/cine_sax_calib.mat,TrainingSet,P025,Cine SAX,cine_sax_calib.mat,58241905664,316202151
TrainingSet/P025/cine_sax_ks.mat,TrainingSet,P025,Cine SAX,cine_sax_ks.mat,58558109696,1102041803
TrainingSet/P025/t1map_calib.mat,TrainingSet,P025,T1map,t1map_calib.mat,59660152320,8557439
TrainingSet/P025/t1map_ks.mat,TrainingSet,P025,T1map,t1map_ks.mat,59668711424,267542732
TrainingSet/P025/t2map_calib.mat,TrainingSet,P025,T2map,t2map_calib.mat,59936254976,5635505
TrainingSet/P025/t2map_ks.mat,TrainingSet,P025,T2map,t2map_ks.mat,59941892096,49643410
TrainingSet/P026/cine_lax_calib.mat,TrainingSet,P026,Cine LAX,cine_lax_calib.mat,59991536640,52082083
TrainingSet/P026/cine_lax_ks.mat,TrainingSet,P026,Cine LAX,cine_lax_ks.mat,60043620352,83455498
TrainingSet/P026/cine_sax_calib.mat,TrainingSet,P026,Cine SAX,cine_sax_calib.mat,60127076864,413126073
TrainingSet/P026/cine_sax_ks.mat,TrainingSet,P026,Cine SAX,cine_sax_ks.mat,60540204544,1414483715
TrainingSet/P026/t1map_calib.mat,TrainingSet,P026,T1map,t1map_calib.mat,61954689024,8673129
TrainingSet/P026/t1map_ks.mat,TrainingSet,P026,T1map,t1map_ks.mat,61963363840,269073212
TrainingSet/P026/t2map_calib.mat,TrainingSet,P026,T2map,t2map_calib.mat,62232437760,5702965
TrainingSet/P026/t2map_ks.mat,TrainingSet,P026,T2map,t2map_ks.mat,62238142464,49837754
TrainingSet/P027/cine_lax_calib.mat,TrainingSet,P027,Cine LAX,cine_lax_calib.mat,62287981568,53642561
TrainingSet/P027/cine_lax_ks.mat,TrainingSet,P027,Cine LAX,cine_lax_ks.mat,62341625856,115886909
TrainingSet/P027/cine_sax_calib.mat,TrainingSet,P027,Cine SAX,cine_sax_calib.mat,62457513472,421334260
TrainingSet/P027/cine_sax_ks.mat,TrainingSet,P027,Cine SAX,cine_sax_ks.mat,62878849536,1436618243
TrainingSet/P027/t1map_calib.mat,TrainingSet,P027,T1map,t1map_calib.mat,64315468800,8657642
TrainingSet/P027/t1map_ks.mat,TrainingSet,P027,T1map,t1map_ks.mat,64324128256,267903906
TrainingSet/P027/t2map_calib.mat,TrainingSet,P027,T2map,t2map_calib.mat,64592032768,5688699
TrainingSet/P027/t2map_ks.mat,TrainingSet,P027,T2map,t2map_ks.mat,64597723136,49489628
TrainingSet/P028/cine_lax_calib.mat,TrainingSet,P028,Cine LAX,cine_lax_calib.mat,64647214080,55454776
TrainingSet/P028/cine_lax_ks.mat,TrainingSet,P028,Cine LAX,cine_lax_ks.mat,64702670848,152051242
TrainingSet/P028/cine_sax_calib.mat,TrainingSet,P028,Cine SAX,cine_sax_calib.mat,64854723072,269131208
TrainingSet/P028/cine_sax_ks.mat,TrainingSet,P028,Cine SAX,cine_sax_ks.mat,65123855872,775265681
TrainingSet/P028/t1map_calib.mat,TrainingSet,P028,T1map,t1map_calib.mat,65899122176,10428851
TrainingSet/P028/t1map_ks.mat,TrainingSet,P028,T1map,t1map_ks.mat,65909552640,326926563
TrainingSet/P028/t2map_calib.mat,TrainingSet,P028,T2map,t2map_calib.mat,66236480000,7052440
TrainingSet/P028/t2map_ks.mat,TrainingSet,P028,T2map,t2map_ks.mat,66243534336,60396263
TrainingSet/P029/cine_lax_calib.mat,TrainingSet,P029,Cine LAX,cine_lax_calib.mat,66303931904,122265316
TrainingSet/P029/cine_lax_ks.mat,TrainingSet,P029,Cine LAX,cine_lax_ks.mat,66426199040,291701083
TrainingSet/P029/cine_sax_calib.mat,TrainingSet,P029,Cine SAX,cine_sax_calib.mat,66717900800,477785471
TrainingSet/P029/cine_sax_ks.mat,TrainingSet,P029,Cine SAX,cine_sax_ks.mat,67195687936,1350259743
TrainingSet/P029/t1map_calib.mat,TrainingSet,P029,T1map,t1map_calib.mat,68545948672,10390145
TrainingSet/P029/t1map_ks.mat,TrainingSet,P029,T1map,t1map_ks.mat,68556340736,325693504
TrainingSet/P029/t2map_calib.mat,TrainingSet,P029,T2map,t2map_calib.mat,68882035200,6988075
TrainingSet/P029/t2map_ks.mat,TrainingSet,P029,T2map,t2map_ks.mat,68889025024,59862995
TrainingSet/P030/cine_lax_calib.mat,TrainingSet,P030,Cine LAX,cine_lax_calib.mat,68948889088,99702613
TrainingSet/P030/cine_lax_ks.mat,TrainingSet,P030,Cine LAX,cine_lax_ks.mat,69048593408,269984861
TrainingSet/P030/cine_sax_calib.mat,TrainingSet,P030,Cine SAX,cine_sax_calib.mat,69318579200,336340702
TrainingSet/P030/cine_sax_ks.mat,TrainingSet,P030,Cine SAX,cine_sax_ks.mat,69654921728,962335498
TrainingSet/P030/t1map_calib.mat,TrainingSet,P030,T1map,t1map_calib.mat,70617257984,10432895
TrainingSet/P030/t1map_ks.mat,TrainingSet,P030,T1map,t1map_ks.mat,70627692544,325946208
TrainingSet/P030/t2map_calib.mat,TrainingSet,P030,T2map,t2map_calib.mat,70953639424,7041121
TrainingSet/P030/t2map_ks.mat,TrainingSet,P030,T2map,t2map_ks.mat,70960682496,60162768
TrainingSet/P031/cine_lax_calib.mat,TrainingSet,P031,Cine LAX,cine_lax_calib.mat,71020846592,142596906
TrainingSet/P031/cine_lax_ks.mat,TrainingSet,P031,Cine LAX,cine_lax_ks.mat,71163445248,406729986
TrainingSet/P031/cine_sax_calib.mat,TrainingSet,P031,Cine SAX,cine_sax_calib.mat,71570176000,550417774
TrainingSet/P031/cine_sax_ks.mat,TrainingSet,P031,Cine SAX,cine_sax_ks.mat,72120595456,1559117222
TrainingSet/P031/t1map_calib.mat,TrainingSet,P031,T1map,t1map_calib.mat,73679713280,10474320
TrainingSet/P031/t1map_ks.mat,TrainingSet,P031,T1map,t1map_ks.mat,73690189312,329536302
